ID,IUPAC,SMILES,IE(%),Category,Concentration_mM,BaseMaterial,Temperature(K),Method,Aggressive Component,MolWt,Scaffold,Scaffold_Freq
243,Phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,86.8,Amino acids,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,165.192,c1ccccc1,28
147,[(2-methoxyphenyl)(methylamino)methyl]phosphonate(2-EHMAP),CCOP(=O)(O)C(NC)c1ccccc1OC,94.06,Phosphonate esters,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,259.242,c1ccccc1,28
182,2-Chloroaniline,Nc1ccccc1Cl,63.62,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,127.574,c1ccccc1,28
186,2-Aminophenetole,CCc1ccccc1N,49.88,Amine,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,121.183,c1ccccc1,28
94,4-Hydroxy-3-methoxybenzaldehydethiosemicarbazone,COc1cc(/C=N/NC(N)=S)ccc1O,88.0,Thiourea,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,225.273,c1ccccc1,28
134,5-(hydrazinylmethyl)quinolin-8-ol(HMQN),NNCc1ccc(O)c2ncccc12,97.0,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,189.218,c1ccc2ncccc2c1,17
262,8-(3-bromopropoxy)quinoline(QN-C3Br),BrCCCOc1cccc2cccnc12,95.7,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,266.138,c1ccc2ncccc2c1,17
108,tert-butyl((8-hydroxyquinolin-5-yl)-methyl)-carbamate(BHQC),CC(C)(C)OC(=O)NCc1ccc(O)c2ncccc12,94.9,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,274.32,c1ccc2ncccc2c1,17
261,8-(2-bromoethoxy)quinoline(QN-C2Br),BrCCOc1cccc2cccnc12,95.2,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,252.111,c1ccc2ncccc2c1,17
133,5-((aminooxy)methyl)quinolin-8-ol(AMQN),NOCc1ccc(O)c2ncccc12,96.9,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,190.202,c1ccc2ncccc2c1,17
137,5-(((2-aminoethyl)amino)methyl)quinolin-8-ol(N-HQ),NCCNCc1ccc(O)c2ncccc12,96.9,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,217.272,c1ccc2ncccc2c1,17
263,8-(4-bromobutoxy)quinoline(QN-C4Br),BrCCCCOc1cccc2cccnc12,97.5,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,280.165,c1ccc2ncccc2c1,17
195,Quinoline,c1ccc2ncccc2c1,82.96,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,129.162,c1ccc2ncccc2c1,17
17,"5-N,N'-dimethylaminomethyl-8-hydroxyquinoline(DMHQ)",CN(C)Cc1ccc(O)c2ncccc12,92.8,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,202.257,c1ccc2ncccc2c1,17
15,5-aminomethyl-8-hydroxyquinoline(AMHQ),NCc1ccc(O)c2ncccc12,87.1,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,174.203,c1ccc2ncccc2c1,17
16,5-N-acethylaminomethyl-8-hydroxyquinoline(ACAMHQ),CC(=O)NCc1ccc(O)c2ncccc12,91.9,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,216.24,c1ccc2ncccc2c1,17
193,"7-N,N  -dipropylaminomethyl-8-hydroxyquinoline(DPQ)",CCCN(CCC)Cc1ccc2cccnc2c1O,89.1,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,258.365,c1ccc2ncccc2c1,17
109,Ethyl3-(((8-hydroxyquinolin-5-yl)-methyl)-amino)-3-oxopropanoate(EHQP),CCOC(=O)CC(=O)NCc1ccc(O)c2ncccc12,83.1,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,288.303,c1ccc2ncccc2c1,17
192,"7-N,N  -dimethylaminomethyl-8-hydroxyquinoline(DMQ)",CN(C)Cc1ccc2cccnc2c1O,94.0,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,202.257,c1ccc2ncccc2c1,17
22,5-((2-(diethylamino)ethoxy)methyl)quinolin-8-ol(DEMQ),CCN(CC)CCOCc1ccc(O)c2ncccc12,93.7,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,274.364,c1ccc2ncccc2c1,17
279,5-(((1-azido-3-chloropropan-2-yl)oxy)methyl)quinolin-8-ol(ACQ),[N-]=[N+]=NCC(CCl)OCc1ccc(O)c2ncccc12,93.8,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,292.726,c1ccc2ncccc2c1,17
138,5-((2-aminoethoxy)methyl)quinolin-8-ol(O-HQ),NCCOCc1ccc(O)c2ncccc12,98.9,Quinolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,218.256,c1ccc2ncccc2c1,17
51,4-(Imidazol-1-yl)phenol,Oc1ccc(-n2ccnc2)cc1,78.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,160.176,c1ccc(-n2ccnc2)cc1,8
46,4'-(Imidazol-1-yl)acetophenone,CC(=O)c1ccc(-n2ccnc2)cc1,70.5,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,186.214,c1ccc(-n2ccnc2)cc1,8
48,4'-(Imidazol-1-yl)benzaldehyde,O=Cc1ccc(-n2ccnc2)cc1,72.2,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,172.187,c1ccc(-n2ccnc2)cc1,8
49,1-(4-Bromophenyl)-1H-imidazole,Brc1ccc(-n2ccnc2)cc1,56.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,223.073,c1ccc(-n2ccnc2)cc1,8
47,4-(1H-Imidazol-1-yl)aniline,Nc1ccc(-n2ccnc2)cc1,66.2,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,159.192,c1ccc(-n2ccnc2)cc1,8
52,1-(3-Chlorophenyl)imidazole,Clc1cccc(-n2ccnc2)c1,57.2,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,178.622,c1ccc(-n2ccnc2)cc1,8
53,1-(2-Chlorophenyl)imidazole,Clc1ccccc1-n1ccnc1,51.9,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,178.622,c1ccc(-n2ccnc2)cc1,8
50,1-(4-Chlorophenyl)imidazole,Clc1ccc(-n2ccnc2)cc1,51.3,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,178.622,c1ccc(-n2ccnc2)cc1,8
152,Mercaptobenzimidazole(MBI),Sc1nc2ccccc2[nH]1,87.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,150.206,c1ccc2[nH]cnc2c1,7
121,2-aminomethylbenzimidazole(ABI),NCc1nc2ccccc2[nH]1,63.4,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,147.181,c1ccc2[nH]cnc2c1,7
56,1H-Benzimidazol-5-amine,Nc1ccc2nc[nH]c2c1,62.6,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,133.154,c1ccc2[nH]cnc2c1,7
55,6-Bromo-1H-benzimidazole,Brc1ccc2nc[nH]c2c1,60.7,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,197.035,c1ccc2[nH]cnc2c1,7
26,2-(allylthio)-1H-benzo[d]imidazole(SHA),C=CCSc1nc2ccccc2[nH]1,93.7,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,190.271,c1ccc2[nH]cnc2c1,7
98,1H-benzimidazol-2-thioyldodecane(MBI-C12),CCCCCCCCCCCCCSc1nc2ccccc2[nH]1,95.7,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,332.557,c1ccc2[nH]cnc2c1,7
54,2-(Chloromethyl)benzimidazole,ClCc1nc2ccccc2[nH]1,81.0,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,166.611,c1ccc2[nH]cnc2c1,7
202,1-Methyl-3-octyl-imidazoliumhexafluorophosphate(OctMIMPF6),CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,82.98,Phosphates,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,340.292,c1c[nH+]c[nH]1,6
29,1-Butyl-3-methylimidazoliumiodide,CCCCn1cc[n+](C)c1.[I-],82.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,266.126,c1c[nH+]c[nH]1,6
30,1-Methyl-3-propylimidazoliumiodide,CCCn1cc[n+](C)c1.[I-],77.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,252.099,c1c[nH+]c[nH]1,6
113,1-hydroxyethyl-3-2011methylimidazoliumhexafluorophosphate([(HOC2)MIm]PF6),Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,43.77,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,272.129,c1c[nH+]c[nH]1,6
201,1-Ethyl-3-methyl-imidazoliumhexafluorophosphate(EMIMPF6),CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,62.05,Phosphates,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,256.13,c1c[nH+]c[nH]1,6
28,1-Hexyl-3-methylimidazoliumiodide,CCCCCCn1cc[n+](C)c1.[I-],92.4,Imidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,294.18,c1c[nH+]c[nH]1,6
170,"4-Methoxyacetophenone-O-1'-(1',3',4'-triazole)methyleneoxime(MATM)",COc1ccc(C(C)=NOCn2cnnc2)cc1,93.8,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,246.27,C(=NOCn1cnnc1)c1ccccc1,5
172,"3,4-Dichloroacetophenone-O-1'-(1',3',4'-triazole)methyleneoxime(3,4-DATM)",CC(=NOCn1cnnc1)c1ccc(Cl)c(Cl)c1,98.7,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,285.134,C(=NOCn1cnnc1)c1ccccc1,5
86,L-cysteine(Cys),N[C@@H](CS)C(=O)O,45.0,Amino acids,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,121.161,,5
77,(N-(3-(dimethylhexadecylammonio)propyl)palmitamidebromide,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],98.5,Brominated,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,645.94,,5
6,hexamethylenediaminetetra(methylenephosphonicacid),O=P(O)(O)CN(CCCCCCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,73.27,Phosphonate esters,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,492.232,,5
173,"2,5-Dichloroacetophenone-O-1-(1,3,4-triazole)methyleneoxime(2,5-DATM)",CC(=NOCn1cnnc1)c1cc(Cl)ccc1Cl,98.0,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,285.134,C(=NOCn1cnnc1)c1ccccc1,5
64,2-phenylbenzimidazole(PBI),c1ccc(-c2nc3ccccc3[nH]2)cc1,87.9,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,194.237,c1ccc(-c2nc3ccccc3[nH]2)cc1,5
144,Melamine(S1),Nc1nc(N)nc(N)n1,63.87,Triazines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,126.123,c1ncncn1,5
165,"1-[4''-(N'',N''-dimethylamino)phenyl]hypomethylimino-2-mercapto-5-[1'-(1',2',4'-triazole)]methylene-1,3,4,triazole(DATT)",CN(C)c1ccc(C=Nn2c(S)nnc2Cn2cncn2)cc1,93.4,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,328.405,C(=Nn1cnnc1Cn1cncn1)c1ccccc1,5
171,"4-Fluoroacetophenone-O-1'-(1',3',4'-triazole)methyleneoxime(FATM)",CC(=NOCn1cnnc1)c1ccc(F)cc1,93.5,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,234.234,C(=NOCn1cnnc1)c1ccccc1,5
162,"1-(2''-Nitrophenyl)hypomethylimino-2-mercapto-5-[1'-(1',2',4'-triazole)]methylene-1,3,4,triazole(NATT)",O=[N+]([O-])c1ccccc1C=Nn1c(S)nnc1Cn1cncn1,89.1,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,330.333,C(=Nn1cnnc1Cn1cncn1)c1ccccc1,5
76,N-dimethyldodecan-1-aminiumbromide(HEDDB),CCCCCCCCCCCC[N+](C)(C)CCOCCO.[Br-],93.4,Brominated,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,382.427,,5
290,"2-(n-Hexylamino)-4,6-bis(3-N,N-dimethylaminopropyl)amino-1,3,5-triazine",CCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,93.45,Triazines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,380.585,c1ncncn1,5
226,3-[(3-Hydroxy-4-methoxy-benzylidene)-amino]-benzoicacid(HMAMB),COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O,87.53,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,271.272,C(=N/c1ccccc1)\c1ccccc1,5
32,"Hydroxy-ethoxyN-(2-(2-hydroxyethoxy)ethyl)-N,N-dimethyloctan-1-aminiumbromide",CCCCCCCC[N+](C)(C)CCOCCO.[Br-],91.9,Brominated,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,326.319,,5
145,Melamine(S2),CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,96.53,Triazines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,408.639,c1ncncn1,5
61,2-(4-aminophenyl)benzimidazole(4APBI),Nc1ccc(-c2nc3ccccc3[nH]2)cc1,93.9,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,209.252,c1ccc(-c2nc3ccccc3[nH]2)cc1,5
164,"1-(2''-Methoxyphenyl)hypomethylimino-2-mercapto-5-[1'-(1',2',4'-triazole)]methylene-1,3,4,triazole(MATT)",COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,92.4,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,315.362,C(=Nn1cnnc1Cn1cncn1)c1ccccc1,5
63,2-(2-aminophenyl)benzimidazole(2APBI),Nc1ccccc1-c1nc2ccccc2[nH]1,89.3,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,209.252,c1ccc(-c2nc3ccccc3[nH]2)cc1,5
163,"1-(2''-Fluorophenyl)hypomethylimino-2-mercapto-5-[1'-(1',2',4'-triazole)]methylene-1,3,4,triazole(FATT)",Fc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,89.2,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,303.326,C(=Nn1cnnc1Cn1cncn1)c1ccccc1,5
62,2-(2-nitrophenyl)benzimidazole(2NPBI),O=[N+]([O-])c1ccccc1-c1nc2ccccc2[nH]1,90.9,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,239.234,c1ccc(-c2nc3ccccc3[nH]2)cc1,5
24,2-((2-hydroxyphenylimino)methyl)-4-methylphenol,Cc1ccc(O)c(/C=N/c2ccccc2O)c1,85.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,227.263,C(=N/c1ccccc1)\c1ccccc1,5
60,2-(4-nitrophenyl)benzimidazole(4NPBI),O=[N+]([O-])c1ccc(-c2nc3ccccc3[nH]2)cc1,95.9,Benzimidazoles,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,239.234,c1ccc(-c2nc3ccccc3[nH]2)cc1,5
293,"2-(n-n-Dodecylamino)-4,6-bis(3-N,N-dimethylaminopropyl)amino-1,3,5-triazine",CCCCCCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,96.66,Triazines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,464.747,c1ncncn1,5
99,2-((4-(dimethylamino)benzylidene)amino)benzenethiol(DBB),CN(C)c1ccc(/C=N/c2ccccc2S)cc1,77.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,256.374,C(=N/c1ccccc1)\c1ccccc1,5
23,2-(2-hydroxybenzylideneamino)phenol,Oc1ccccc1/C=N/c1ccccc1O,80.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,213.236,C(=N/c1ccccc1)\c1ccccc1,5
291,"2-(nOctylamino)-4,6-bis(3-N,N-dimethylaminopropyl)amino-1,3,5-triazine",CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,94.41,Triazines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,408.639,c1ncncn1,5
25,2-((2-hydroxyphenylimino)methyl)-4-methoxyphenol,COc1ccc(O)c(/C=N/c2ccccc2O)c1,91.0,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,243.262,C(=N/c1ccccc1)\c1ccccc1,5
166,"1-(4''-Chlorophenyl)hypomethylimino-2-mercapto-5-[1'-(1',2',4'-triazole)]methylene-1,3,4,triazole(CATT)",Sc1nnc(Cn2cncn2)n1N=Cc1ccc(Cl)cc1,96.9,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,319.781,C(=Nn1cnnc1Cn1cncn1)c1ccccc1,5
169,"4-chloroacetophenone-O-1'-(1',3',4'-triazole)methyleneoxime(CATM)",CC(=NOCn1cnnc1)c1ccc(Cl)cc1,96.8,Triazole,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,250.689,C(=NOCn1cnnc1)c1ccccc1,5
159,6-Thiopurine,Nc1nc(S)c2nc[nH]c2n1,78.4,Purines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,167.197,c1ncc2nc[nH]c2n1,4
95,2-Pyridinecarboxaldehydethiosemicarbazone,NC(=S)N/N=C/c1ccccn1,78.0,Thiourea,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,180.236,c1ccncc1,4
83,3-methyl-2-phenylquinazolin-4(3H)-one(QZ-H),Cn1c(-c2ccccc2)nc2ccccc2c1=O,89.93,Quinazolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,236.274,O=c1[nH]c(-c2ccccc2)nc2ccccc12,4
84,3-methyl-2-(4-nitrophenyl)quinazolin-4(3H)-one(QZ-NO2),Cn1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2c1=O,90.72,Quinazolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,281.271,O=c1[nH]c(-c2ccccc2)nc2ccccc12,4
209,"5-fluro-1[2-(diethylamino)ethyl]-1H?indole-2,3-dione",CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21,90.6,Indigo derivative,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,264.3,O=C1Nc2ccccc2C1=O,4
68,1-butyl-4-(2-(4-fluorobenzylidene)hydrazinecarbonyl)pyridin-1-iumiodide(IPyr-C4H9),CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],92.3,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,427.261,O=C(N/N=C/c1ccccc1)c1cc[nH+]cc1,4
82,3-methyl-2-(p-tolyl)quinazolin-4(3H)-one(QZ-CH3),Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,92.27,Quinazolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,250.301,O=c1[nH]c(-c2ccccc2)nc2ccccc12,4
277,"(E)-4-(1-((3-hydroxyphenyl)imino)ethyl)benzene-1,3-diol(PSB1)",C/C(=N\c1cccc(O)c1)c1ccc(O)cc1O,89.7,Schiff bases,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,243.262,C(=Nc1ccccc1)c1ccccc1,4
237,"6-(2,3-dioxoindolin-1-yl)-N,N,N-trimethylhexan-1-ammoniumbromide3",C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,92.07,ionic surfactant,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,289.399,O=C1Nc2ccccc2C1=O,4
85,2-(4-hydroxyphenyl)-3-methylquinazolin-4(3H)-one(QZ-OH),Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,91.94,Quinazolines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,252.273,O=c1[nH]c(-c2ccccc2)nc2ccccc12,4
97,2-Pyridinecarboxaldehydesemicarbazone,CNC(=O)N/N=C/c1ccccn1,52.0,Semicarbazones,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,178.195,c1ccncc1,4
67,1-ethyl-4-(2-(4-fluorobenzylidene)hydrazinecarbonyl)pyridin-1-iumiodide(IPyrC2H5),CC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],88.8,Pyridines,1,Carbon Steel,298K,Potentiodynamic Polarization,1.0M HCL,399.207,O=C(N/N=C/c1ccccc1)c1cc[nH+]cc1,4
