CID,SMILES,Predicted_IE,repeat,3D_conformer,MolWt,LogP,TPSA,HBA,HBD,NumAtoms,NumRings,Formula,Predicted_LD50_log10,Predicted_LD50
134571764,CC(C1=CC=C(C=C1)OC)OCCCC(=O)CCC2=CC=C(C=C2)OC,0.9821615,0,Conformer3D_COMPOUND_CID_134571764.sdf,356.462,4.763500000000004,44.76000000000001,4,0,26,2,C22H28O4,3.6764620435001136,4747.467971741849
134579883,CC1=CC=C(C=C1)OCC2=CC=CC=C2OCCOCCCOC(C)C,0.98313516,0,Conformer3D_COMPOUND_CID_134579883.sdf,358.4780000000002,4.784520000000004,36.92,4,0,26,2,C22H30O4,3.666873583646245,4643.800817444625
134740441,CCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[C@@H]1C(C([C@@H]([C@@H](O1)CO)O)O)O)OC(=O)CCCCCCCCC/C=C/CCCCCCCC,0.9800158,0,,883.3459999999994,12.287599999999983,151.98000000000005,10,4,62,1,C52H98O10,3.660123032679736,4572.176979408834
134844348,C[C@H]1CCC=C([C@@H]1C(=O)C2=C(C=CC(=C2)OC)OCOC)CCC=C(C)C,0.98789775,0,Conformer3D_COMPOUND_CID_134844348.sdf,372.50500000000017,5.579500000000008,44.76000000000001,4,0,27,2,C23H32O4,3.784305773929773,6085.633219548693
134853824,CCCCC(=O)CCC1CCCC[C]1CCC(=O)OCC,0.99672383,0,,295.443,4.6338900000000045,43.37000000000001,3,0,21,1,C18H31O3,3.849472900756469,7070.870782630661
134863295,C[C@@H](CCC[C@@H](CC/C(=C\CC=C)/C)OC(=O)C)OC,0.9866673,0,Conformer3D_COMPOUND_CID_134863295.sdf,282.42400000000004,4.425900000000004,35.53,3,0,20,0,C17H30O3,3.732716089325416,5404.009319636426
134875537,[Li+].CCCCCCCC(CO[Si](C)(C)C(C)(C)C)C#[C-],0.99066746,0,,288.4770000000001,2.57869,9.23,1,0,20,0,C17H33LiOSi,3.645143221809591,4417.160926478896
134880914,CCCCC[C@](C)(/C=C/[CH]C(=O)CCCCOCC1=CC=CC=C1)OC=O,0.98487955,0,,373.513,5.2150900000000044,52.6,4,0,27,1,C23H33O4,3.8724322706491305,7454.736044197777
134880978,CCCCCC(C)([CH]/C=C/C(=O)CCCCOCC1=CC=CC=C1)OC=O,0.9912556,0,,373.513,5.2150900000000044,52.6,4,0,27,1,C23H33O4,3.8724322706491305,7454.736044197777
134886536,CCCCCCCCCCCCCCCC(=O)OCCC(C)CCCCCC,0.98133755,0,,396.70000000000033,9.007500000000002,26.3,2,0,28,0,C26H52O2,4.042081833932834,11017.468917028136
134895103,CC[C@H](C)COC(OC[C@@H](C)CC)OC[C@@H](C)CC,0.9823704,0,Conformer3D_COMPOUND_CID_134895103.sdf,274.445,4.458100000000004,27.69,3,0,19,0,C16H34O3,3.644744707223576,4413.109537987599
134916505,CCCCCC[C@H](CC(=O)CCCCCC)CC(=O)OC,0.9812972,0,Conformer3D_COMPOUND_CID_134916505.sdf,298.467,5.065700000000005,43.37000000000001,3,0,21,0,C18H34O3,3.641332702617913,4378.57408798815
134934135,CCCCCC(CCCCC)(CCC[C@H](CCCCOCC1=CC=CC=C1)O)O,0.98102134,0,,406.65100000000007,6.796400000000009,49.69,3,2,29,1,C26H46O3,3.616547383212674,4135.684338066341
134935206,C1CCC(CC1)OC(=C(OC2CCCCC2)OC3CCCCC3)OC4CCCCC4,0.9856687,0,Conformer3D_COMPOUND_CID_134935206.sdf,420.6340000000004,7.510200000000008,36.92,4,0,30,4,C26H44O4,3.810117807074042,6458.293934819931
134943421,CCC(=O)CC/C(=C(/COC)\C=C\C1=CC=CC=C1)/COC,0.9857131,0,Conformer3D_COMPOUND_CID_134943421.sdf,302.4140000000001,4.048500000000003,35.53,3,0,22,1,C19H26O3,3.865940890926821,7344.139049262689
134980012,CC[Si](CC)(CC)O[C@](C)(C/C=C\C1=CC=CC=C1)/C(=C/C(=C)C[C@@H](C)CO[Si](C(C)C)(C(C)C)C(C)C)/C,0.9869807,0,,571.0510000000003,11.591199999999985,18.46,2,0,39,1,C35H62O2Si2,3.722372142135643,5276.818324735942
134999763,CCCCCCC[C@H](CC(=O)CC)OOC(C)(C)OC,0.98429966,0,Conformer3D_COMPOUND_CID_134999763.sdf,288.428,4.415400000000004,44.76000000000001,4,0,20,0,C16H32O4,3.744023173905061,5546.553085136258
135021272,CCOC(=O)/C=C/C(C)(CCCOCC1=CC=C(C=C1)OC)O[Si](CC)(CC)CC,0.9956548,0,,436.6650000000001,5.891800000000008,53.99000000000001,5,0,30,1,C24H40O5Si,3.660822198939951,4579.543608669355
135059182,C[C@H](C[C@@H](C)/C(=C/[Si](C)(C)C)/CCCCO[Si](C)(C)C(C)(C)C)[C@H](CCOCC1=CC=C(C=C1)OC)O,0.98508286,0,,550.9730000000003,8.621000000000006,47.92,4,1,37,1,C31H58O4Si2,3.635607725146197,4321.233409282979
135063385,CCCCCC/C(=C/COCCC1=CC=CC=C1)/CC(=O)OCC,0.989344,0,Conformer3D_COMPOUND_CID_135063385.sdf,332.4840000000001,5.095700000000004,35.53,3,0,24,1,C21H32O3,3.881471508030663,7611.52201837517
135081619,CCCCCCCCCCCCCCCCOC[C@H](CO[C@H]1C[C@H]([C@H]([C@H](O1)CO)O)O)OC,0.993104,0,,476.69500000000016,4.345000000000004,97.61,7,3,33,1,C26H52O7,3.8649143333333336,7326.799942457453
135144576,CCCCO.CCCCOC(=O)CCC.CCCC(=O)O,0.982214,0,,306.443,3.7797000000000014,83.83,4,2,21,0,C16H34O5,3.745556586069112,5566.17153542284
135158277,CCCCCCCOCCOCCOC,1.0103787,0,Conformer3D_COMPOUND_CID_135158277.sdf,218.337,2.636400000000001,27.69,3,0,15,0,C12H26O3,3.6593832036667298,4564.394818291947
135236984,CCCCOC1=CC(=CC(=C1OCCCC)OCCCC)/C=C(\C(=O)C)/C(=O)CCC,0.9838526,0,,432.6010000000003,6.564900000000009,61.83000000000001,5,0,31,1,C26H40O5,3.790537306100219,6173.583209811192
135245108,CC(=O)CCC1CCC(CC1)COCC2CCC(CC2)COC(=O)C,0.9807847,0,Conformer3D_COMPOUND_CID_135245108.sdf,352.51500000000016,4.548100000000004,52.6,4,0,25,2,C21H36O4,3.804220524719805,6371.189530928777
135285101,CCCCCCCCCCCCCCCCCCOOCCCCCCCCCCCCCCCCC,0.99139154,0,,524.9590000000006,13.067499999999974,18.46,2,0,37,0,C35H72O2,3.91585813788662,8238.689546006271
135297923,CCCCCCCCCCOC(=O)C1=CC(=C(C=C1)OCCOC2=CC=CC=C2)CCC,0.98486334,0,,440.62400000000025,7.394400000000008,44.76000000000001,4,0,32,2,C28H40O4,3.61392702619116,4110.806420766911
135678176,C/C(=C\CC/C(=C/[C@H]([C@@H](CCOCOC)CCO[Si](C)(C)C(C)(C)C)OCOC)/C)/CCCC(=O)C,0.9885904,0,,528.8470000000003,7.44630000000001,63.22000000000001,6,0,36,0,C29H56O6Si,3.881173397809598,7606.29907861625
135679888,C[C@H](C=O)[C@H](CC/C(=C(/COCC1=CC=C(C=C1)OC)\COCOC)/C)O[Si](C(C)C)(C(C)C)C(C)C,0.9883967,0,,536.8260000000004,7.324700000000008,63.22000000000001,6,0,37,1,C30H52O6Si,3.690766731134877,4906.442698218913
136599340,CC1=C(C(=O)C(=C(C1=O)OC)O)CCCCCCCCCCOC(C)C,1.0041375,0,Conformer3D_COMPOUND_CID_136599340.sdf,366.49800000000016,4.806600000000005,72.83000000000001,5,1,26,1,C21H34O5,3.778648188630491,6006.869384967927
137296917,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OC[C@@H]4[C@@H]([C@@H]([C@H]([C@H](O4)OC[C@@H]5[C@H]([C@@H]([C@H](C(O5)O)O)O)O)O)O)O)O)O)N=C(NC2=O)N,0.9819763,0,,687.5050000000003,-6.921299999999992,364.34,21,12,46,5,C22H34N5O18P,3.813657361111103,6511.144912021012
137331670,CCCC(=O)CCCCCCCCCCCCO,0.9817433,0,Conformer3D_COMPOUND_CID_137331670.sdf,256.42999999999995,4.639000000000005,37.3,2,1,18,0,C16H32O2,3.644698036205511,4412.635313107766
137357375,CCCCCCCCCCO[C@@H](CCOCCCCCC)O,0.9839718,0,,316.52600000000007,5.449100000000007,38.69,3,1,22,0,C19H40O3,3.631101233582413,4276.62562222922
137472051,CCCCCCCCC(COCOCC)OC1=CC=C(C=C1)C(=O)CCCCCCC,0.9827801,0,,434.6610000000003,7.738400000000008,44.76000000000001,4,0,31,1,C27H46O4,3.640488818570317,4370.074276480651
137527355,CCCCCCCCCCC(CCCCCCCC)CCOC(=O)CCC1=CC=CC=C1,0.994149,0,,444.74400000000014,9.4501,26.3,2,0,32,1,C30H52O2,3.9765179438862575,9473.663263380338
137550760,COCCOCCN(CCOCCOC)[C@@H](CCCCN)C(=O)O,0.9869682,0,,350.45600000000013,0.1966000000000046,103.48,7,2,24,0,C16H34N2O6,3.6751743061489535,4733.411985761287
137550762,COCCOCCN(CCOCCOC)C(CCCCN)C(=O)O,0.9869682,0,,350.45600000000013,0.1966000000000046,103.48,7,2,24,0,C16H34N2O6,3.6751743061489535,4733.411985761287
138111762,CC1=C(C(=O)C(=C(C1=O)O)OC)CCCCCCCCCCO,1.005741,0,Conformer3D_COMPOUND_CID_138111762.sdf,324.4170000000001,3.373900000000003,83.83000000000001,5,2,23,1,C18H28O5,3.6459315219638255,4425.185920762896
138112443,CC1=C(C(=O)C(=C(C1=O)OC)O)CCCCCCCCCCO,1.0036372,0,Conformer3D_COMPOUND_CID_138112443.sdf,324.4170000000001,3.373900000000003,83.83000000000001,5,2,23,1,C18H28O5,3.6459315219638255,4425.185920762896
138251383,CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC1C(C(C(C(O1)CO)O)O)O)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC,0.9813646,0,,897.3729999999991,12.67769999999998,151.98000000000005,10,4,63,1,C53H100O10,3.660123032679736,4572.176979408834
138493477,CCCCOCCCCCCCCCCCOCCOCCCC,1.0159953000000002,0,,344.5800000000001,6.147300000000008,27.69,3,0,24,0,C21H44O3,3.6363216989111424,4328.343296366699
138511939,CCCCO/C(=C/CC)/C1=CCC(=CC=C1)C(=O)C(C)OCCC,0.9842332,0,Conformer3D_COMPOUND_CID_138511939.sdf,332.4840000000001,5.293900000000005,35.53,3,0,24,1,C21H32O3,3.828586895571122,6738.867162331298
138520148,CCC(C)COC(OCC(C)CC)OCC(C)CC,0.98008156,0,Conformer3D_COMPOUND_CID_138520148.sdf,274.445,4.458100000000004,27.69,3,0,19,0,C16H34O3,3.644744707223576,4413.109537987599
138529724,CCCCCC1CCC(CC1)OCCOC2CCC(CC2)C(C)COC(=O)C(=C)C,0.9848757,0,Conformer3D_COMPOUND_CID_138529724.sdf,422.65000000000015,6.472900000000008,44.76000000000001,4,0,30,2,C26H46O4,3.846331885822507,7019.915521707028
138534935,CCOCCOC(C)(C)C(=O)CCCCCOC(C)(C)C(=O)C=C,0.98377043,0,Conformer3D_COMPOUND_CID_138534935.sdf,342.47600000000006,3.4979000000000022,61.83000000000001,5,0,24,0,C19H34O5,3.6590439920634927,4560.831127645807
138633925,CCCCCCCCCCCCCCCCC(CCOCCO)C(=O)O,0.9817553,0,,372.59000000000015,5.9576000000000064,66.76,3,2,26,0,C22H44O4,3.773854543612168,5940.931482209299
138673055,CCOCC1=C(C=C(C=C1)CC(=O)C(C)C)OCCCOC,0.9936098,0,Conformer3D_COMPOUND_CID_138673055.sdf,308.41800000000006,3.4060000000000024,44.76000000000001,4,0,22,1,C18H28O4,3.757086571128906,5715.925650869772
138687285,CCCCCCCCCCCCOC(CCCCCCCC)COCCCC,0.98131067,0,,398.7160000000003,8.859800000000005,18.46,2,0,28,0,C26H54O2,3.682103179871861,4809.536000426577
138721295,CC(C(C)(C)C(=O)CCCCO)OCCCCCC(=O)C,0.9880103,0,Conformer3D_COMPOUND_CID_138721295.sdf,300.439,3.2988000000000017,63.6,4,1,21,0,C17H32O4,3.808372854781149,6432.397208354317
138721699,CCCCCCC(=O)CCOCCOCCOC,0.99067765,0,Conformer3D_COMPOUND_CID_138721699.sdf,260.3739999999999,2.595600000000001,44.76000000000001,4,0,18,0,C14H28O4,3.8221920986175233,6640.367244424674
138723342,CCCCCCC(CCCCCC)C(=O)/C=C/COC,0.9808772,0,Conformer3D_COMPOUND_CID_138723342.sdf,282.468,5.3151000000000055,26.3,2,0,20,0,C18H34O2,3.883478443217184,7646.777317030653
138757169,CCCCCCCCCCCCCCCCSCCCCCCCCCCCO,0.99067694,0,,428.8110000000004,9.704099999999997,20.23,2,1,29,0,C27H56OS,3.6428373440005535,4393.770250571176
138967407,CC(C)OC(=O)CCCCCCCOCC1=CC=CC=C1,0.98226804,0,Conformer3D_COMPOUND_CID_138967407.sdf,292.41899999999987,4.4954000000000045,35.53,3,0,21,1,C18H28O3,3.6762465739934216,4745.113162024711
138970165,C[C@@H](C[C@@H](CCO)C1=CC=CC=C1)CC(OC)OC,0.992268,0,Conformer3D_COMPOUND_CID_138970165.sdf,266.38100000000003,3.187800000000002,38.69,3,1,19,1,C16H26O3,3.6294771639683594,4260.662796166899
138970364,C[C@@H](C[C@H](CCO)C1=CC=CC=C1)CC(OC)OC,0.992268,0,Conformer3D_COMPOUND_CID_138970364.sdf,266.38100000000003,3.187800000000002,38.69,3,1,19,1,C16H26O3,3.6294771639683594,4260.662796166899
138975794,CCCCCC(C/C=C/C(CCCC(=O)OCC)OC1CCCCO1)OC(=O)C,0.98494226,0,,412.5670000000002,5.0899000000000045,71.06,6,0,29,1,C23H40O6,3.717159482916653,5213.861409299903
139037991,C[C@@H]1CC[C@@H]([C@H](C1=O)[C@H](/C(=C/CO)/C)O[Si](C)(C)C(C)(C)C)C(C)C,0.9901317,0,Conformer3D_COMPOUND_CID_139037991.sdf,368.6340000000001,5.202800000000005,46.53,3,1,25,1,C21H40O3Si,3.643573401455028,4401.223279875353
139255022,CCOC(=O)CCCC(CCCC(=O)OCC)CCCOCC1=CC=CC=C1,0.98772115,0,,392.5360000000002,5.066400000000005,61.83000000000001,5,0,28,1,C23H36O5,3.828460341372076,6736.903730315863
139263523,CC/C=C(\CC)/C(C1=CC=CC=C1)OCOC,0.98578346,0,Conformer3D_COMPOUND_CID_139263523.sdf,234.33900000000003,4.094600000000003,18.46,2,0,17,1,C15H22O2,3.620757646161514,4175.972654945126
139420642,CC(C)C(C)(C)C(=O)CCCCCOC(C)C,0.9900151,0,Conformer3D_COMPOUND_CID_139420642.sdf,242.403,4.223100000000004,26.3,2,0,17,0,C15H30O2,3.697135414648152,4978.923054665575
139442936,CCCCCCC1=CC=C(C=C1)OCCOC2=C(C=C(C=C2C)C3=CC(=C(C=C3)CCOCC4CCC(=O)CC4)OC(=O)C=C)C,1.0010998,0,,626.8340000000002,8.960840000000006,71.06,6,0,46,4,C40H50O6,3.660564583333334,4576.827912024754
139463237,CCCCCCCCCC(=O)C.CCCCCCCCCC(C)(OC)OC,0.9829257,0,,386.6610000000002,7.85220000000001,35.53,3,0,27,0,C24H50O3,3.678549767838678,4770.344766019876
139470490,CC1=CC=CC=C1COC2CCCC[C@]2(C)OCC(C)C,0.9955052,0,Conformer3D_COMPOUND_CID_139470490.sdf,290.44699999999995,4.885520000000005,18.46,2,0,21,2,C19H30O2,3.675208156589956,4733.780938935621
139489775,CCCCCCCCCCCCCCCCCCCCCCCOCCC(=O)O,1.0007871,0,,412.6990000000001,8.689700000000006,46.53,2,1,29,0,C26H52O3,3.689674825876439,4894.122390955813
139513318,CC(=O)CC(C)(C)O.COCCOCCOC,0.98185563,0,,250.33499999999992,1.0321999999999998,64.99000000000001,5,1,17,0,C12H26O5,3.668809608981475,4664.548456351295
139604684,CCCCCCCCCCCCCCCCCCCCC(=O)C1=C(C=CC(=C1)C(CC)(CC)OOC(C)(C)CC(C)(C)C)C(C)C,0.984313,0,,643.094,14.602799999999972,35.53,3,0,46,1,C43H78O3,3.680418930755643,4790.920130134276
139605252,CCCCCC1CCCC(C1)C(=O)CCC(=O)OCCC,0.9847035,0,Conformer3D_COMPOUND_CID_139605252.sdf,296.451,4.675600000000005,43.37000000000001,3,0,21,1,C18H32O3,3.8901850530872895,7765.779463761984
139614044,CCCCCCCCCCCCCCCCC[Si](CC)(OCC)OCC,0.9938047,0,,386.73700000000014,8.392900000000006,18.46,2,0,26,0,C23H50O2Si,3.9886977570860895,9743.11339456416
139614063,CCCCCCCCCCCCCCCCC[Si](CCCCCCCCCCCC)(OCC)OCC,0.9875629,0,,527.0070000000005,12.29389999999998,18.46,2,0,36,0,C33H70O2Si,3.9886977570860895,9743.11339456416
139614079,CCCCCCCCCCCCCCCC[Si](CCCCCCCCCCC)(OCC)OCC,0.9907893,0,,498.9530000000005,11.513699999999988,18.46,2,0,34,0,C31H66O2Si,3.9886977570860895,9743.11339456416
139614085,CCCCCCCCCCCCCCCCC[Si](CCCCCCCCCCC)(OCC)OCC,0.98468703,0,,512.9800000000006,11.903799999999984,18.46,2,0,35,0,C32H68O2Si,3.9886977570860895,9743.11339456416
139614088,CCCCCCCCCCCCCC[Si](CCCC)(OCC)OCC,0.98510927,0,,372.71000000000015,8.00280000000001,18.46,2,0,25,0,C22H48O2Si,3.9886977570860895,9743.11339456416
139614090,CCCCCCCCCCCCCCCC[Si](CCCCCCCCC)(OCC)OCC,0.98107785,0,,470.8990000000005,10.733499999999992,18.46,2,0,32,0,C29H62O2Si,3.9886977570860895,9743.11339456416
139614102,CCCCCCCCCCCCCC[Si](CCCCCCCCCCCCC)(OCC)OCC,0.9874701,0,,498.9530000000005,11.513699999999988,18.46,2,0,34,0,C31H66O2Si,3.9886977570860895,9743.11339456416
139614108,CCCCCCCCCCCCC[Si](CCCCCCCCCCC)(OCC)OCC,0.9835901,0,,456.8720000000004,10.343399999999994,18.46,2,0,31,0,C28H60O2Si,3.9886977570860895,9743.11339456416
139614111,CCCCCCCCCCCCC[Si](CCCCCCCCCCCC)(OCC)OCC,0.98218375,0,,470.8990000000005,10.733499999999992,18.46,2,0,32,0,C29H62O2Si,3.9886977570860895,9743.11339456416
139614115,CCCCCCCCCCCCCCC[Si](CCCCCCCCCCCC)(OCC)OCC,0.9897308,0,,498.9530000000005,11.513699999999988,18.46,2,0,34,0,C31H66O2Si,3.9886977570860895,9743.11339456416
139614117,CCCCCCCCCCCCCCCC[Si](CCCCCCCCCCCCC)(OCC)OCC,0.98716956,0,,527.0070000000006,12.293899999999985,18.46,2,0,36,0,C33H70O2Si,3.9886977570860895,9743.11339456416
139614121,CCCCCCCCCCCCCCCC[Si](CCCCCCC)(OCC)OCC,0.98527366,0,,442.8450000000004,9.953299999999995,18.46,2,0,30,0,C27H58O2Si,3.9886977570860895,9743.11339456416
139614123,CCCCCCCCCCCCCC[Si](CCCCCCCCCCCC)(OCC)OCC,0.9879371,0,,484.92600000000056,11.123599999999987,18.46,2,0,33,0,C30H64O2Si,3.9886977570860895,9743.11339456416
139614124,CCCCCCCCCCCCCCC[Si](CCCCCCCCCCCCCC)(OCC)OCC,0.9833883,0,,527.0070000000006,12.293899999999985,18.46,2,0,36,0,C33H70O2Si,3.9886977570860895,9743.11339456416
139614130,CCCCCCCCCCCCCCCCCCC[Si](CCCCCCCC)(OCC)OCC,0.9814912,0,,498.9530000000004,11.513699999999984,18.46,2,0,34,0,C31H66O2Si,3.9886977570860895,9743.11339456416
139614133,CCCCCCCCCCCCCCC[Si](CCCCCCCC)(OCC)OCC,0.98481494,0,,442.8450000000004,9.953299999999995,18.46,2,0,30,0,C27H58O2Si,3.9886977570860895,9743.11339456416
139614137,CCCCCCCCCCCCCCCC[Si](CCCCCC)(OCC)OCC,0.98349833,0,,428.8180000000003,9.5632,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614141,CCCCCCCCCCCCCCCCC[Si](CCCC)(OCC)OCC,0.9872149,0,,414.79100000000017,9.173100000000002,18.46,2,0,28,0,C25H54O2Si,3.9886977570860895,9743.11339456416
139614142,CCCCCCCCCCCCCCC[Si](CCCCCCC)(OCC)OCC,0.9853377,0,,428.8180000000003,9.5632,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614152,CCCCCCCCCCCCCCCCCCCC[Si](CCCCCCC)(OCC)OCC,0.98189557,0,,498.9530000000004,11.513699999999984,18.46,2,0,34,0,C31H66O2Si,3.9886977570860895,9743.11339456416
139614162,CCCCCCCCCCCCCCCCCC[Si](CCCCCC)(OCC)OCC,0.98107785,0,,456.8720000000003,10.343399999999994,18.46,2,0,31,0,C28H60O2Si,3.9886977570860895,9743.11339456416
139614178,CCCCCCCCCCCCCCC[Si](CCCCCCCCCCC)(OCC)OCC,0.9869005,0,,484.92600000000056,11.123599999999987,18.46,2,0,33,0,C30H64O2Si,3.9886977570860895,9743.11339456416
139614185,CCCCCCCCCCCCCC[Si](CCCCCCCC)(OCC)OCC,0.98656565,0,,428.8180000000003,9.5632,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614199,CCCCCCCCCCCCCCCCCC[Si](CCCCCCCCCC)(OCC)OCC,0.98191607,0,,512.9800000000006,11.903799999999984,18.46,2,0,35,0,C32H68O2Si,3.9886977570860895,9743.11339456416
139614205,CCCCCCCCCCCCCCCCCCC[Si](CCCCCCC)(OCC)OCC,0.98240584,0,,484.9260000000004,11.123599999999987,18.46,2,0,33,0,C30H64O2Si,3.9886977570860895,9743.11339456416
139614207,CCCCCCCCCCCCCCC[Si](CCC)(OCC)OCC,0.9829585,0,,372.71000000000015,8.00280000000001,18.46,2,0,25,0,C22H48O2Si,3.9886977570860895,9743.11339456416
139614210,CCCCCCCCCCCCCCCCC[Si](CCC)(OCC)OCC,0.9924388,0,,400.7640000000002,8.783000000000003,18.46,2,0,27,0,C24H52O2Si,3.9886977570860895,9743.11339456416
139614214,CCCCCCCCCCCCCCC[Si](CCCCCCCCC)(OCC)OCC,0.98179513,0,,456.8720000000004,10.343399999999994,18.46,2,0,31,0,C28H60O2Si,3.9886977570860895,9743.11339456416
139614226,CCCCCCCCCCCCCCCCCC[Si](CCCCCCC)(OCC)OCC,0.98107785,0,,470.8990000000003,10.73349999999999,18.46,2,0,32,0,C29H62O2Si,3.9886977570860895,9743.11339456416
139614228,CCCCCCCCCCCCCC[Si](CCCCC)(OCC)OCC,0.98004663,0,,386.73700000000014,8.392900000000006,18.46,2,0,26,0,C23H50O2Si,3.9886977570860895,9743.11339456416
139614237,CCCCCCCCCCCCC[Si](CCCCCCCCC)(OCC)OCC,0.9866069,0,,428.8180000000003,9.5632,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614240,CCCCCCCCCCCCCCCCC[Si](CCCCC)(OCC)OCC,0.98301005,0,,428.8180000000002,9.563199999999998,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614242,CCCCCCCCCCCCCCCC[Si](CCCCCCCC)(OCC)OCC,0.98179513,0,,456.8720000000004,10.343399999999994,18.46,2,0,31,0,C28H60O2Si,3.9886977570860895,9743.11339456416
139614247,CCCCCCCCCCCC[Si](CCCCCCCCCC)(OCC)OCC,0.9812424,0,,428.8180000000003,9.5632,18.46,2,0,29,0,C26H56O2Si,3.9886977570860895,9743.11339456416
139614260,CCCCCCCCCCCCCCCCCC[Si](CCC)(OCC)OCC,0.99499476,0,,414.79100000000017,9.173100000000002,18.46,2,0,28,0,C25H54O2Si,3.9886977570860895,9743.11339456416
139614270,CCCCCCCCCCCCCCCCCCCC[Si](CCCCCCCCCC)(OCC)OCC,0.98123217,0,,541.0340000000003,12.683999999999982,18.46,2,0,37,0,C34H72O2Si,3.9886977570860895,9743.11339456416
139614281,CCCCCCCCCCCCCC[Si](CCCCCCCCC)(OCC)OCC,0.98481494,0,,442.8450000000004,9.953299999999995,18.46,2,0,30,0,C27H58O2Si,3.9886977570860895,9743.11339456416
